"-- Please select --","-- Please select --"
"Scheduled Import Settings","Ajastatud impordi seaded"
"Start Time","Alguse kuupäev"
"Base currency","Base currency"
"Connection timeout in seconds","Connection timeout in seconds"
"Country","Country"
"Country Api","Country Api"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Undefined rate from ""%s-%s""","Defineerimata kurss ""%s-%s"""
"Directory","Directory"
"Unable to initialize import model","Ei saa initsialiseerida impordi mudelit"
"Cannot retrieve rate from %s","Ei saa tõmmata kurssi %s"
"FATAL ERROR:","FATAALNE VIGA:"
"WARNING:","HOIATUS:"
"Installed Currencies","Installeeritud valuutad"
"Continue &raquo;","Jätka &raquo;"
"Invalid country code: %s","Kehtetu riigi kood: %s"
"Invalid target currency","Kehtetu sihtvaluuta"
"Invalid Import Service Specified","Kehtetud impordi teenus määratud"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Enabled","Lubatud  "
"Allowed currencies","Lubatud valuutad"
"State/Province","Maakond"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Country and Format Type combination should be unique","Riigi ja formaadi tüübi kombinatsioon peavad olema unikaalsed"
"Invalid rates received","Saadud kehtetud kursid"
"Frequency","Sagedus"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Service","Teenus"
"Your current currency is: %s","Teie praegune valuuta on: %s"
"Default display currency","Vaikimisi kuvatav valuuta"
"Select Your Currency","Vali oma valuuta"
"Currency","Valuuta"
"Currency Setup","Valuuta seadistamine"
"Currency Update Warnings","Valuuta uuendamise hoiatused"
"Currency Options","Valuuta valikud"
"Error Email Template","Vea e-kirja mall"
"Error Email Recipient","Vea e-kirja saaja"
"Error Email Sender","Vea e-kirja saatja"
"Webservicex","Webservicex"
