"* Required Fields","* Required Fields"
"Add Gift Message","Add Gift Message"
"Cancel","Cancel"
"Close","Close"
"Edit Gift Message","Edit Gift Message"
"No","Ei"
"Gift Message","Gift Message"
"Yes","Jah"
"Do you have any gift items in your order?","Kas Teie tellimuses on tooteid mis mõeldud kinkimiseks?"
"Use config","Kasuta konfiguratsioonis määratud seadeid"
"To","Kellele"
"From","Kellelt:"
"Gift message has been successfully saved","Kingituse sõnum on salvestatud"
"Gift Messages","Kingituse sõnumid"
"Add","Lisa"
"Allow Gift Messages on Order Level","Luba kingituse sõnumeid tellimuse tasemel"
"Allow Gift Messages for Order Items","Luba kingituse sõnumeid tellimuse toodetele"
"Check this checkbox if you want to add gift messages to your items.","Märgi see väli kui soovid lisada kingituse sõnumit oma toodetele"
"Check this checkbox if you want to add gift messages.","Märgi see väli kui soovid lisada kingituse sõnumit."
"Edit","Muuda"
"Are you sure?","Olete Te kindel?"
"Remove","Remove"
"Save Gift Message","Salvesta kingituse sõnum"
"Save","Save"
"Message","Sõnum"
"Enter a gift message for entire order.","Sisesta kingituse sõnum kogu tellimusele"
"Enter a gift message for this address.","Sisesta kingituse sõnum sellele aadressile"
"Enter a gift message for each item in your order.","Sisesta kingituse sõnum tellimuse igale tootele."
"Your gift message successfully removed","Teie kingituse sõnum on eelmaldatud"
"Your gift message successfully saved","Teie kingituse sõnum on salvestatud"
"Item %d of %d","Toode %d toodetest %d"
"Unknown entity type","Tundmatu olemi tüüp"
"Error while saving gift message","Viga kingituse sõnumi salvestamisel"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"Your gift message has been successfully removed","Your gift message has been successfully removed"
"Your gift message has been successfully saved","Your gift message has been successfully saved"
