"Actions","Actions"
"Date Expire","Aegumise kuupäev"
"Expire at: %s","Aegumise kuupäev: %s"
"For matching items only","Ainult sobivatele toodetele"
"Active","Aktiivne"
"From Date","Alates kuupäevast"
"Date Start","Alguse kuupäev"
"Discount Qty Step (Buy X)","Allahindluse koguse samm  (osta X)"
"Discount amount","Allahindluse summa"
"Start at: %s","Alusta: %s"
"Public In RSS Feed","Avalik RSS kanalis"
"Total Items Quantity","Ühikute kogus kokku"
"General Information","Üldine informatsioon"
"No","Ei"
"Unable to find a page to delete","Ei leia lehte mida kustutada"
"NOT LOGGED IN","EI OLE SISSE LOGITUD"
"Special price","Erihind"
"Fixed amount discount","Fikseeritud summa allahindlus"
"Fixed amount discount for whole cart","Fikseeritud summa allahindlus kogu ostukorvile"
"By Fixed Amount","Fikseeritud summa järgi"
"This rule no longer exists","Fikseeritud summale"
"To Fixed Amount","Fikseeritud summaleProtsendile"
"By Fixed value","Fikseeritud väärtuse järgi"
"To Fixed Value","Fikseeritud väärtusele"
"Price in cart","Hind ostukorvis"
"ID","ID"
"Yes","Jah"
"Uses per customer","Kasutuskordi kliendi kohta"
"Uses per coupon","Kasutuskordi kupongi kohta"
"Catalog","Kataloog"
"Stop further rules processing","Keela edasine reeglite töötlus"
"Description","Kirjeldus"
"Description: %s","Kirjeldus: %s"
"Customer Groups","Kliendigrupid"
"Customer is new buyer: %s","Klient on uus ostja: %s"
"Customer registered: %s","Klient registreerus: %s"
"Total Weight","Kogukaal"
"Quantity in cart","Kogus ostukorvis"
"Shipping Method","Kohaletoimetamis meetod"
"Shipping Postcode","Kohaletoimetamis postiindeks"
"Shipping State/Province","Kohaletoimetamise maakond"
"Shipping Region","Kohaletoimetamise maakond"
"Shipping Country","Kohaletoimetamise riik"
"For shipment with matching items","Kohaletoimetamiseks koos sobivate toodetega"
"Coupon code","Kupongi kood"
"Coupon Code","Kupongi kood"
"Delete Rule","Kustuta reegel"
"To Date","Kuupäevani"
"Add New Rule","Lisa uus reegel"
"Payment Method","Makseviis"
"Maximum Qty Discount is Applied to","Maximum Qty Discount is Applied to"
"Promotions","Müügikampaaniad"
"Inactive","Mitteaktiivne"
"Edit Rule","Muuda reeglit"
"Edit Rule '%s'","Muuda reeglit '%s'"
"Name: %s","Nimi %s"
"Buy X get Y free (discount amount is Y)","Osta X saa Y tasuta (allahindluse summa on Y)"
"Cart Attribute","Ostukorvi atribuut"
"Shopping Cart Price Rule","Ostukorvi hinnareegel"
"Shopping Cart Price Rules","Ostukorvi hinnareeglid"
"Priority","Prioriteet"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"By Percentage","Protsendi järgi"
"To Percentage","Protsendini"
"To Percentage of the original price","Protsendini originaalhinnast"
"By Percentage of the original price","Protsent alghinnast järgi"
"Apply to","Rakenda"
"Apply","Rakenda"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Rakenda reeglit ainult ostukorvi toodetele mis vastavad järgmistele tingimustele (jäta tühjaks kõikidele toodetele)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Rakenda reeglit ainult siis kui jägnevad tingimused on täidetud (jäta tühjaks kõikide toodete jaoks)"
"Apply the rule to cart items matching the following conditions","Rakenda reeglit ostukorvis olevatele toodetele mis vastavad järgmistele tingimustele"
"Row total in cart","Rea summa ostukorvis"
"Rule was successfully deleted","Reegel on kustutatud"
"Rule was successfully saved","Reegel on salvestatud"
"Rule Information","Reegli informatsioon"
"Rule Name","Reegli nimi"
"Save Rule","Salvesta reegel"
"Status","Staatus"
"Free shipping","Tasuta kohaletoimetamine"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"Conditions","Tingimused"
"Conditions combination","Tingimuste kombinatsioon"
"Percent of product price discount","Toote soodustuse protsent"
"Update prices using the following information","Uuend hindasid kasutades järgnevat informatsiooni"
"Update the Product","Uuenda toodet"
"Update product's %s %s: %s","Uuenda tooteid %s %s: %s"
"New Rule","Uus reegel"
"Subtotal","Vahesumma"
