"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Starting %s :: %s","Alates %s :: %s"
"Declared adapter %s not found","Deklareeritud adapterit %s ei leitud"
"Dry run set, stopping execution","Dry run set, stopping execution"
"Could not load file: ""%s""","Ei saa laadida faili: ""%s"""
"Could not save file: %s","Ei saa salvestada faili: %s"
"ETA: %s","ETA: %s"
"File ""%s"" don't exist","File ""%s"" don't exist"
"Skip undefined row","Jäta defineerimata rida vahele"
"Memory Used: %s","Kasutatud mälu: %s"
"Total records: %s","Kirjeid kokku: %s"
"Loaded successfully: ""%s""","Laetud edukalt: ""%s"""
"Sheet 1","Leht 1"
"Found %d rows","Leitud %d rida"
"Access denied to destination folder ""%s""","Ligipääs keelatud sihtkausta ""%s"""
"Method ""%s"" not defined in adapter %s","Meetod ""%s"" ei ole defineeritud adapteris %s"
"minute","minut "
"minutes","minutid"
"Please declare ""adapter"" and ""method"" node first","Palun deklareeri esmalt ""adapter"" ja ""meetod"" nood"
"Saved successfully: ""%s"" [%d byte(s)]","Salvestatud edukalt: ""%s"" [%d bitti]"
"Destination folder ""%s"" is not a directory","Sihtkaust ""%s"" ei ole kataloog"
"Destination folder ""%s"" does not exist or not access to create","Sihtkausta ""%s"" ei ole olemas või ei ole ligipääsu loomiseks"
"Destination folder ""%s"" is not a writeable","Sihtkausta ""%s"" ei saa kirjutada"
"Processed records: %s","Töödeldud kirjeid: %s"
"Done","Tehtud"
"hour","tund"
"hours","tunnid"
"Less than a minute","Vähem kui minut"
"Error field mapping! Fields list for mapping is not defined","Vea välja mäppisel! Väljade nimekiri mäpinguks ei ole defineeritud."
"Error occured during file opening: ""%s""","Viga faili avamisel: ""%s"""
